Crash_Year,Crash_Police_Region,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Casualty_Count
2001,South Eastern,Hospitalised,60 to 74,Male,Motorcyclist,3
2001,South Eastern,Hospitalised,75 and over,Female,Driver,7
2001,Unknown,Minor injury,25 to 29,Female,Passenger,1
2001,Northern,Minor injury,17 to 24,Male,Passenger,11
2001,Brisbane,Minor injury,17 to 24,Female,Pedestrian,9
2001,Northern,Minor injury,0 to 16,Female,Passenger,12
2001,Brisbane,Minor injury,Unknown,Female,Passenger,6
2001,Brisbane,Medically treated,0 to 16,Male,Pedestrian,11
2001,North Coast,Hospitalised,25 to 29,Female,Pedestrian,3
2001,Brisbane,Hospitalised,75 and over,Male,Driver,14
2001,Northern,Hospitalised,75 and over,Male,Driver,7
2001,Northern,Hospitalised,60 to 74,Male,Passenger,3
2001,Central,Hospitalised,0 to 16,Male,Bicyclist,9
2001,Northern,Hospitalised,40 to 49,Male,Motorcyclist,9
2001,Southern,Medically treated,25 to 29,Male,Motorcyclist,2
2001,South Eastern,Fatality,60 to 74,Female,Passenger,1
2001,Southern,Fatality,40 to 49,Male,Driver,3
2001,South Eastern,Hospitalised,Unknown,Male,Driver,1
2001,Far Northern,Hospitalised,0 to 16,Female,Pedestrian,2
2001,North Coast,Medically treated,25 to 29,Female,Passenger,19
2001,Central,Medically treated,25 to 29,Female,Bicyclist,1
2001,Unknown,Minor injury,40 to 49,Male,Bicyclist,1
2001,North Coast,Medically treated,Unknown,Female,Passenger,2
2001,Central,Medically treated,25 to 29,Male,Pedestrian,1
2001,North Coast,Medically treated,75 and over,Male,Bicyclist,1
2001,Unknown,Hospitalised,40 to 49,Male,Driver,4
2001,North Coast,Hospitalised,50 to 59,Female,Bicyclist,3
2001,Far Northern,Hospitalised,40 to 49,Male,Passenger,6
2001,Far Northern,Minor injury,75 and over,Female,Passenger,1
2001,North Coast,Fatality,17 to 24,Female,Passenger,2
2019,Northern,Minor injury,50 to 59,Male,Pedestrian,1
2018,Far Northern,Medically treated,17 to 24,Male,Passenger,8
2017,North Coast,Fatality,17 to 24,Male,Motorcyclist,1
2017,North Coast,Fatality,17 to 24,Female,Bicyclist,1
2018,Brisbane,Fatality,40 to 49,Female,Motorcyclist,1
2018,Far Northern,Fatality,17 to 24,Male,Driver,1
2014,South Eastern,Medically treated,Unknown,Female,Bicyclist,1
2019,Northern,Medically treated,17 to 24,Female,Bicyclist,2
2018,North Coast,Fatality,40 to 49,Male,Bicyclist,1
2012,Northern,Minor injury,0 to 16,Male,Pedestrian,1
2016,Brisbane,Minor injury,30 to 39,Unknown,Passenger,1
2018,South Eastern,Fatality,0 to 16,Male,Pedestrian,1
2020,North Coast,Minor injury,0 to 16,Male,Pedestrian,2
2016,Northern,Medically treated,50 to 59,Male,Motorcyclist,1
2017,Northern,Fatality,30 to 39,Male,Motorcyclist,2
2017,Northern,Fatality,0 to 16,Male,Passenger,1
2017,Central,Fatality,25 to 29,Female,Passenger,1
2020,Far Northern,Minor injury,30 to 39,Female,Passenger,3
2019,Far Northern,Minor injury,0 to 16,Female,Bicyclist,2
2020,Central,Medically treated,50 to 59,Male,Motorcyclist,2
2019,Brisbane,Medically treated,Unknown,Female,Passenger,1
2018,Brisbane,Fatality,60 to 74,Female,Pedestrian,2
2018,South Eastern,Fatality,40 to 49,Male,Motorcyclist,2
2018,Far Northern,Hospitalised,60 to 74,Female,Pedestrian,1
2019,Brisbane,Fatality,17 to 24,Male,Pedestrian,1
2018,Northern,Fatality,17 to 24,Male,Motorcyclist,1
2019,Brisbane,Fatality,50 to 59,Male,Driver,1
2019,North Coast,Fatality,30 to 39,Female,Driver,1
2017,North Coast,Fatality,17 to 24,Male,Driver,2
2017,Southern,Fatality,40 to 49,Male,Motorcyclist,1
2018,Far Northern,Minor injury,50 to 59,Female,Passenger,1
2019,Northern,Hospitalised,75 and over,Male,Passenger,2
2017,Southern,Fatality,75 and over,Male,Passenger,1
2019,Far Northern,Fatality,75 and over,Male,Driver,2
2020,Brisbane,Minor injury,17 to 24,Unknown,Driver,2
2019,South Eastern,Fatality,75 and over,Female,Pedestrian,1
2019,Southern,Hospitalised,60 to 74,Female,Pedestrian,1
2019,Northern,Hospitalised,0 to 16,Female,Bicyclist,1
2020,North Coast,Hospitalised,25 to 29,Male,Pedestrian,3
2006,Far Northern,Hospitalised,50 to 59,Female,Bicyclist,1
2008,Unknown,Hospitalised,50 to 59,Male,Motorcyclist,1
2008,Brisbane,Medically treated,25 to 29,Male,Pedestrian,3
2008,Far Northern,Medically treated,30 to 39,Female,Motorcyclist,1
2008,Northern,Minor injury,0 to 16,Female,Pedestrian,1
2008,Far Northern,Hospitalised,75 and over,Male,Motorcyclist,1
2008,Far Northern,Hospitalised,75 and over,Female,Motorcyclist,1
2008,Brisbane,Medically treated,30 to 39,Female,Bicyclist,1
2007,South Eastern,Medically treated,40 to 49,Male,Pedestrian,2
2008,Far Northern,Medically treated,17 to 24,Female,Bicyclist,4
2008,Brisbane,Fatality,50 to 59,Male,Motorcyclist,1
2008,Northern,Hospitalised,75 and over,Male,Driver,3
2007,Far Northern,Hospitalised,40 to 49,Male,Pedestrian,2
2007,Unknown,Medically treated,30 to 39,Male,Driver,1
2007,Central,Hospitalised,17 to 24,Female,Pedestrian,1
2009,Northern,Medically treated,0 to 16,Female,Driver,3
2007,Unknown,Minor injury,60 to 74,Male,Bicyclist,1
2008,South Eastern,Hospitalised,0 to 16,Male,Driver,2
2014,South Eastern,Fatality,30 to 39,Female,Driver,2
2014,Southern,Fatality,0 to 16,Female,Passenger,2
2015,South Eastern,Medically treated,75 and over,Male,Bicyclist,1
2020,Northern,Hospitalised,50 to 59,Female,Bicyclist,3
2012,Southern,Medically treated,40 to 49,Female,Pedestrian,1
2018,Brisbane,Minor injury,60 to 74,Male,Pedestrian,2
2018,Far Northern,Medically treated,25 to 29,Male,Bicyclist,1
2020,South Eastern,Hospitalised,40 to 49,Female,Bicyclist,4
2019,Far Northern,Minor injury,25 to 29,Female,Passenger,1
2019,Northern,Medically treated,30 to 39,Male,Pedestrian,2
2012,Brisbane,Medically treated,60 to 74,Female,Motorcyclist,1
2020,South Eastern,Medically treated,60 to 74,Male,Pedestrian,1
2018,South Eastern,Medically treated,40 to 49,Male,Pedestrian,1
2012,Northern,Medically treated,60 to 74,Male,Passenger,1
2014,Northern,Medically treated,50 to 59,Male,Pedestrian,2
2019,Northern,Minor injury,30 to 39,Female,Passenger,2
2017,Central,Hospitalised,30 to 39,Female,Bicyclist,1
2020,Far Northern,Fatality,17 to 24,Male,Motorcyclist,2
2019,Far Northern,Medically treated,75 and over,Male,Bicyclist,1
2020,South Eastern,Medically treated,25 to 29,Male,Bicyclist,1
2019,Northern,Fatality,0 to 16,Male,Motorcyclist,1
2019,Northern,Minor injury,50 to 59,Male,Motorcyclist,1
2016,Far Northern,Medically treated,40 to 49,Female,Passenger,1
2017,North Coast,Minor injury,25 to 29,Male,Motorcyclist,3
2004,Brisbane,Fatality,40 to 49,Female,Passenger,1
2004,South Eastern,Hospitalised,60 to 74,Male,Motorcyclist,2
2004,Northern,Fatality,40 to 49,Male,Driver,1
2004,Central,Fatality,40 to 49,Male,Passenger,1
2004,North Coast,Hospitalised,60 to 74,Female,Motorcyclist,1
2004,Northern,Medically treated,25 to 29,Male,Passenger,1
2004,North Coast,Fatality,25 to 29,Male,Passenger,1
2004,Brisbane,Fatality,17 to 24,Male,Pedestrian,2
2004,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,1
2005,Far Northern,Fatality,50 to 59,Male,Pedestrian,2
2004,Brisbane,Medically treated,50 to 59,Female,Bicyclist,1
2004,North Coast,Fatality,0 to 16,Female,Driver,1
2004,Brisbane,Minor injury,60 to 74,Male,Bicyclist,1
2004,South Eastern,Minor injury,Unknown,Female,Driver,1
2010,North Coast,Hospitalised,75 and over,Female,Bicyclist,1
2011,North Coast,Fatality,0 to 16,Unknown,Passenger,1
2011,Brisbane,Fatality,50 to 59,Female,Pedestrian,1
2011,Southern,Fatality,50 to 59,Female,Driver,1
2012,South Eastern,Hospitalised,50 to 59,Female,Bicyclist,1
2011,Northern,Hospitalised,30 to 39,Male,Bicyclist,2
2011,Southern,Fatality,17 to 24,Female,Driver,1
2011,Central,Medically treated,0 to 16,Female,Driver,1
2010,South Eastern,Medically treated,60 to 74,Male,Motorcyclist,1
2010,Northern,Hospitalised,0 to 16,Female,Motorcyclist,1
2010,Northern,Medically treated,25 to 29,Male,Pedestrian,1
2010,Far Northern,Hospitalised,25 to 29,Female,Bicyclist,1
2010,Central,Hospitalised,50 to 59,Male,Bicyclist,1
2011,Far Northern,Fatality,0 to 16,Male,Pedestrian,1
2010,Northern,Medically treated,50 to 59,Male,Bicyclist,1
2009,Central,Minor injury,25 to 29,Male,Passenger,1
2011,Central,Minor injury,40 to 49,Male,Motorcyclist,1
2010,Southern,Minor injury,50 to 59,Male,Pedestrian,1
2010,Southern,Hospitalised,50 to 59,Female,Pedestrian,1
2011,North Coast,Minor injury,25 to 29,Male,Motorcyclist,1
2011,Far Northern,Minor injury,17 to 24,Female,Bicyclist,1
2019,Far Northern,Minor injury,50 to 59,Male,Passenger,2
2018,Northern,Hospitalised,17 to 24,Male,Bicyclist,1
2018,Northern,Hospitalised,50 to 59,Male,Pedestrian,1
2018,South Eastern,Medically treated,0 to 16,Male,Other,1
2018,South Eastern,Medically treated,25 to 29,Female,Motorcyclist,1
2019,Central,Hospitalised,40 to 49,Male,Passenger,1
2019,Brisbane,Hospitalised,Unknown,Male,Bicyclist,1
2018,Northern,Hospitalised,40 to 49,Male,Bicyclist,2
2019,Northern,Hospitalised,25 to 29,Male,Bicyclist,1
2015,Far Northern,Minor injury,0 to 16,Male,Bicyclist,1
2019,North Coast,Hospitalised,25 to 29,Unknown,Passenger,1
2019,Northern,Medically treated,60 to 74,Male,Bicyclist,1
2016,Brisbane,Minor injury,30 to 39,Female,Motorcyclist,2
2005,North Coast,Minor injury,Unknown,Female,Pedestrian,1
2005,South Eastern,Minor injury,0 to 16,Female,Bicyclist,1
2005,Central,Hospitalised,75 and over,Male,Bicyclist,1
2005,Far Northern,Fatality,40 to 49,Male,Motorcyclist,1
2005,South Eastern,Fatality,17 to 24,Male,Pedestrian,1
2005,Northern,Minor injury,50 to 59,Male,Motorcyclist,2
2005,South Eastern,Hospitalised,50 to 59,Female,Motorcyclist,1
2005,Southern,Fatality,17 to 24,Female,Driver,2
2005,Northern,Hospitalised,75 and over,Female,Pedestrian,1
2005,Central,Medically treated,30 to 39,Male,Bicyclist,3
2005,Central,Fatality,0 to 16,Female,Driver,1
2005,Southern,Minor injury,40 to 49,Female,Motorcyclist,1
2005,North Coast,Hospitalised,75 and over,Male,Motorcyclist,1
2005,Central,Minor injury,25 to 29,Female,Passenger,1
2008,Central,Medically treated,30 to 39,Female,Pedestrian,1
2009,North Coast,Hospitalised,50 to 59,Male,Passenger,1
2009,Far Northern,Fatality,60 to 74,Male,Pedestrian,1
2008,South Eastern,Hospitalised,0 to 16,Male,Motorcyclist,2
2009,Far Northern,Fatality,0 to 16,Unknown,Passenger,1
2008,South Eastern,Medically treated,25 to 29,Female,Pedestrian,1
2008,Far Northern,Minor injury,50 to 59,Male,Motorcyclist,3
2008,Far Northern,Minor injury,40 to 49,Male,Pedestrian,1
2008,North Coast,Hospitalised,40 to 49,Male,Pedestrian,1
2009,Far Northern,Minor injury,0 to 16,Female,Motorcyclist,1
2009,South Eastern,Minor injury,25 to 29,Female,Pedestrian,1
2009,Far Northern,Fatality,17 to 24,Male,Passenger,1
2009,North Coast,Fatality,75 and over,Female,Passenger,1
2009,South Eastern,Minor injury,25 to 29,Female,Motorcyclist,1
2001,Far Northern,Hospitalised,75 and over,Female,Passenger,5
2001,Far Northern,Hospitalised,30 to 39,Female,Motorcyclist,3
2001,Unknown,Medically treated,40 to 49,Male,Passenger,1
2001,North Coast,Medically treated,17 to 24,Female,Pedestrian,2
2001,North Coast,Minor injury,60 to 74,Female,Pedestrian,3
2001,Central,Minor injury,40 to 49,Male,Bicyclist,3
2001,South Eastern,Minor injury,60 to 74,Female,Passenger,8
2001,North Coast,Medically treated,75 and over,Male,Passenger,2
2001,South Eastern,Minor injury,40 to 49,Male,Bicyclist,1
2001,Unknown,Hospitalised,50 to 59,Male,Passenger,1
2001,Far Northern,Hospitalised,30 to 39,Male,Pedestrian,2
2001,Far Northern,Hospitalised,40 to 49,Female,Motorcyclist,1
2001,South Eastern,Fatality,0 to 16,Female,Pedestrian,1
2001,South Eastern,Hospitalised,30 to 39,Female,Pedestrian,7
2001,Far Northern,Minor injury,75 and over,Female,Driver,2
2001,Southern,Fatality,60 to 74,Female,Passenger,1
2001,Southern,Hospitalised,17 to 24,Female,Motorcyclist,1
2001,North Coast,Fatality,40 to 49,Male,Pedestrian,1
2001,Southern,Medically treated,50 to 59,Female,Motorcyclist,1
2001,North Coast,Minor injury,40 to 49,Male,Bicyclist,6
2001,Northern,Minor injury,50 to 59,Male,Driver,3
2001,Northern,Hospitalised,30 to 39,Male,Passenger,3
2001,Brisbane,Fatality,75 and over,Female,Pedestrian,1
2001,Brisbane,Fatality,25 to 29,Male,Driver,4
2001,South Eastern,Hospitalised,Unknown,Female,Passenger,1
2001,North Coast,Minor injury,25 to 29,Male,Bicyclist,1
2001,South Eastern,Medically treated,Unknown,Male,Driver,2
2001,Unknown,Minor injury,0 to 16,Male,Other,1
2001,Unknown,Hospitalised,0 to 16,Female,Pedestrian,1
2001,Brisbane,Medically treated,60 to 74,Male,Bicyclist,1
2010,Brisbane,Fatality,60 to 74,Male,Driver,1
2001,Southern,Hospitalised,30 to 39,Male,Bicyclist,1
2001,Far Northern,Medically treated,40 to 49,Female,Motorcyclist,1
2001,Unknown,Medically treated,0 to 16,Male,Driver,3
2022,Brisbane,Hospitalised,40 to 49,Female,Motorcyclist,3
2022,Northern,Hospitalised,60 to 74,Female,Passenger,6
2015,Brisbane,Minor injury,40 to 49,Female,Motorcyclist,1
2022,Brisbane,Minor injury,17 to 24,Male,Passenger,8
2022,Far Northern,Medically treated,30 to 39,Male,Driver,7
2022,Far Northern,Hospitalised,50 to 59,Male,Driver,12
2020,Far Northern,Fatality,40 to 49,Male,Motorcyclist,2
2021,North Coast,Medically treated,30 to 39,Female,Pedestrian,2
2022,Northern,Medically treated,17 to 24,Male,Motorcyclist,2
2022,Brisbane,Medically treated,30 to 39,Male,Passenger,10
2022,South Eastern,Hospitalised,60 to 74,Female,Motorcyclist,4
2022,South Eastern,Minor injury,Unknown,Female,Driver,1
2022,Far Northern,Hospitalised,60 to 74,Unknown,Passenger,2
2022,Central,Hospitalised,25 to 29,Male,Driver,11
2022,Southern,Medically treated,25 to 29,Male,Bicyclist,2
2021,South Eastern,Minor injury,50 to 59,Female,Passenger,9
2021,North Coast,Medically treated,30 to 39,Male,Pedestrian,5
2022,Central,Hospitalised,17 to 24,Female,Motorcyclist,1
2021,Central,Hospitalised,60 to 74,Male,Pedestrian,3
2021,Brisbane,Hospitalised,50 to 59,Female,Passenger,11
2022,Central,Hospitalised,30 to 39,Female,Driver,13
2022,Far Northern,Hospitalised,50 to 59,Female,Motorcyclist,2
2022,Far Northern,Hospitalised,0 to 16,Male,Motorcyclist,1
2021,Central,Hospitalised,25 to 29,Male,Bicyclist,2
2021,Northern,Medically treated,25 to 29,Male,Bicyclist,1
2022,Far Northern,Hospitalised,17 to 24,Female,Driver,7
2022,Central,Medically treated,17 to 24,Female,Driver,15
2021,Central,Minor injury,40 to 49,Male,Bicyclist,1
2021,Far Northern,Minor injury,25 to 29,Female,Pedestrian,1
2020,Northern,Minor injury,30 to 39,Male,Passenger,1
2017,North Coast,Fatality,25 to 29,Male,Motorcyclist,1
2020,Southern,Hospitalised,60 to 74,Female,Motorcyclist,2
2021,Southern,Fatality,17 to 24,Female,Passenger,2
2022,South Eastern,Hospitalised,17 to 24,Female,Pedestrian,1
2021,South Eastern,Minor injury,25 to 29,Female,Motorcyclist,1
2020,Brisbane,Medically treated,0 to 16,Unknown,Passenger,1
2021,North Coast,Minor injury,17 to 24,Male,Bicyclist,1
2021,Central,Hospitalised,40 to 49,Female,Pedestrian,1
2022,Northern,Minor injury,17 to 24,Female,Driver,2
2022,Central,Hospitalised,17 to 24,Male,Motorcyclist,3
2019,Far Northern,Medically treated,30 to 39,Male,Motorcyclist,1
2018,Northern,Fatality,50 to 59,Male,Motorcyclist,1
2022,Brisbane,Medically treated,Unknown,Female,Passenger,1
2021,Brisbane,Minor injury,0 to 16,Female,Pedestrian,2
2021,Southern,Minor injury,17 to 24,Male,Bicyclist,1
2021,Southern,Hospitalised,75 and over,Male,Other,1
2021,North Coast,Hospitalised,60 to 74,Female,Pedestrian,3
2017,Far Northern,Medically treated,30 to 39,Female,Motorcyclist,2
2018,Brisbane,Fatality,60 to 74,Male,Passenger,1
2017,Central,Medically treated,0 to 16,Female,Pedestrian,1
2016,North Coast,Minor injury,30 to 39,Female,Pedestrian,1
2017,North Coast,Hospitalised,30 to 39,Female,Pedestrian,1
2017,Far Northern,Hospitalised,40 to 49,Male,Pedestrian,2
2017,Northern,Hospitalised,17 to 24,Female,Bicyclist,1
2017,Far Northern,Medically treated,Unknown,Male,Passenger,2
2016,Far Northern,Hospitalised,75 and over,Male,Pedestrian,1
2016,Southern,Minor injury,17 to 24,Male,Pedestrian,1
2016,North Coast,Minor injury,30 to 39,Male,Pedestrian,1
2014,North Coast,Hospitalised,0 to 16,Unknown,Pedestrian,1
2016,Central,Hospitalised,25 to 29,Female,Pedestrian,1
2002,Southern,Minor injury,60 to 74,Female,Driver,11
2002,Southern,Minor injury,30 to 39,Female,Driver,26
2002,Far Northern,Minor injury,75 and over,Male,Driver,2
2002,North Coast,Fatality,25 to 29,Male,Motorcyclist,1
2002,Southern,Medically treated,75 and over,Female,Driver,3
2002,Brisbane,Hospitalised,25 to 29,Male,Bicyclist,9
2002,Far Northern,Minor injury,40 to 49,Female,Motorcyclist,1
2002,South Eastern,Fatality,40 to 49,Male,Pedestrian,1
2002,Central,Hospitalised,30 to 39,Male,Driver,33
2002,Northern,Hospitalised,17 to 24,Male,Bicyclist,3
2002,Brisbane,Hospitalised,30 to 39,Female,Pedestrian,6
2002,South Eastern,Hospitalised,30 to 39,Female,Driver,48
2002,South Eastern,Hospitalised,25 to 29,Male,Driver,29
2002,Far Northern,Hospitalised,40 to 49,Male,Motorcyclist,15
2002,Northern,Hospitalised,30 to 39,Male,Motorcyclist,14
2002,Far Northern,Hospitalised,0 to 16,Male,Bicyclist,7
2002,Northern,Hospitalised,30 to 39,Female,Bicyclist,1
2002,South Eastern,Hospitalised,40 to 49,Male,Motorcyclist,19
2002,Far Northern,Minor injury,60 to 74,Male,Driver,3
2002,North Coast,Hospitalised,40 to 49,Male,Pedestrian,3
2002,Northern,Minor injury,30 to 39,Male,Driver,10
2002,South Eastern,Minor injury,17 to 24,Male,Passenger,24
2002,North Coast,Minor injury,17 to 24,Female,Driver,51
2002,North Coast,Medically treated,60 to 74,Male,Bicyclist,4
2002,Northern,Medically treated,75 and over,Male,Driver,2
2002,North Coast,Medically treated,0 to 16,Male,Pedestrian,15
2002,North Coast,Medically treated,40 to 49,Male,Driver,49
2002,Brisbane,Hospitalised,25 to 29,Male,Pedestrian,5
2002,North Coast,Hospitalised,60 to 74,Female,Driver,18
2002,Central,Hospitalised,75 and over,Male,Driver,14
2002,Brisbane,Minor injury,40 to 49,Female,Pedestrian,1
2002,South Eastern,Medically treated,30 to 39,Male,Passenger,15
2002,Brisbane,Hospitalised,50 to 59,Male,Motorcyclist,14
2002,Far Northern,Hospitalised,17 to 24,Male,Motorcyclist,8
2002,Central,Minor injury,50 to 59,Female,Driver,12
2002,North Coast,Hospitalised,25 to 29,Female,Driver,20
2002,South Eastern,Hospitalised,50 to 59,Female,Driver,31
2002,Brisbane,Minor injury,25 to 29,Male,Passenger,10
2002,Northern,Medically treated,50 to 59,Female,Driver,9
2002,South Eastern,Fatality,30 to 39,Male,Motorcyclist,4
2002,South Eastern,Hospitalised,60 to 74,Male,Pedestrian,4
2002,Central,Fatality,75 and over,Female,Driver,1
2002,Southern,Hospitalised,17 to 24,Male,Pedestrian,5
2002,Northern,Medically treated,17 to 24,Male,Pedestrian,1
2002,Southern,Hospitalised,30 to 39,Male,Motorcyclist,21
2002,South Eastern,Medically treated,40 to 49,Female,Pedestrian,3
2002,Southern,Fatality,17 to 24,Female,Driver,5
2002,South Eastern,Hospitalised,30 to 39,Male,Passenger,9
2002,Central,Hospitalised,50 to 59,Female,Driver,13
2002,North Coast,Hospitalised,17 to 24,Male,Pedestrian,10
2002,Far Northern,Hospitalised,50 to 59,Male,Bicyclist,1
2002,Central,Hospitalised,50 to 59,Female,Passenger,6
2002,Far Northern,Minor injury,30 to 39,Male,Motorcyclist,4
2002,Brisbane,Hospitalised,25 to 29,Female,Motorcyclist,4
2002,North Coast,Fatality,17 to 24,Female,Passenger,2
2002,North Coast,Fatality,60 to 74,Male,Driver,2
2002,Brisbane,Hospitalised,25 to 29,Female,Passenger,14
2002,Central,Hospitalised,75 and over,Female,Driver,5
2002,North Coast,Minor injury,40 to 49,Male,Motorcyclist,8
2002,South Eastern,Medically treated,17 to 24,Male,Pedestrian,7
2002,Northern,Hospitalised,25 to 29,Female,Driver,5
2002,Northern,Minor injury,17 to 24,Male,Motorcyclist,5
2002,South Eastern,Minor injury,75 and over,Female,Passenger,4
2002,Central,Minor injury,0 to 16,Male,Pedestrian,3
2002,Brisbane,Minor injury,25 to 29,Female,Bicyclist,3
2002,Northern,Minor injury,0 to 16,Female,Motorcyclist,1
2002,North Coast,Medically treated,25 to 29,Male,Passenger,14
2002,North Coast,Hospitalised,0 to 16,Male,Motorcyclist,5
2002,South Eastern,Medically treated,Unknown,Male,Pedestrian,2
2002,Far Northern,Fatality,25 to 29,Male,Driver,1
2002,South Eastern,Minor injury,75 and over,Male,Passenger,1
2002,Unknown,Medically treated,17 to 24,Female,Driver,5
2002,Northern,Hospitalised,40 to 49,Male,Passenger,2
2002,Far Northern,Hospitalised,25 to 29,Male,Bicyclist,1
2002,Northern,Hospitalised,50 to 59,Female,Driver,13
2002,Brisbane,Medically treated,25 to 29,Female,Bicyclist,5
2002,Southern,Hospitalised,25 to 29,Male,Motorcyclist,9
2002,North Coast,Minor injury,30 to 39,Female,Motorcyclist,3
2002,Brisbane,Minor injury,Unknown,Female,Driver,1
2002,North Coast,Medically treated,25 to 29,Male,Pedestrian,4
2002,Brisbane,Hospitalised,25 to 29,Female,Bicyclist,3
2002,Brisbane,Hospitalised,75 and over,Male,Pedestrian,10
2002,Far Northern,Fatality,50 to 59,Male,Driver,1
2002,North Coast,Medically treated,40 to 49,Female,Pedestrian,3
2002,Central,Minor injury,75 and over,Female,Driver,1
2002,Brisbane,Medically treated,Unknown,Female,Driver,1
2002,South Eastern,Hospitalised,75 and over,Male,Pedestrian,8
2002,Brisbane,Medically treated,50 to 59,Male,Pedestrian,7
2018,Brisbane,Minor injury,Unknown,Male,Driver,1
2017,Southern,Minor injury,0 to 16,Male,Motorcyclist,1
2018,South Eastern,Minor injury,75 and over,Male,Bicyclist,1
2018,North Coast,Minor injury,50 to 59,Female,Bicyclist,1
2017,Northern,Minor injury,60 to 74,Female,Driver,2
2018,Central,Medically treated,0 to 16,Female,Pedestrian,4
2018,Brisbane,Hospitalised,25 to 29,Female,Bicyclist,4
2018,Far Northern,Minor injury,30 to 39,Female,Bicyclist,1
2018,Northern,Medically treated,50 to 59,Male,Pedestrian,1
2018,Northern,Minor injury,40 to 49,Female,Driver,7
2015,Southern,Medically treated,75 and over,Male,Motorcyclist,1
2012,Southern,Minor injury,Unknown,Male,Passenger,2
2014,Northern,Minor injury,30 to 39,Male,Motorcyclist,1
2014,Central,Hospitalised,75 and over,Male,Pedestrian,1
2012,Southern,Medically treated,17 to 24,Female,Pedestrian,2
2014,North Coast,Hospitalised,0 to 16,Female,Pedestrian,2
2015,North Coast,Hospitalised,0 to 16,Male,Driver,1
2015,North Coast,Hospitalised,0 to 16,Male,Pedestrian,2
2013,South Eastern,Medically treated,0 to 16,Male,Motorcyclist,1
2013,South Eastern,Minor injury,Unknown,Male,Pedestrian,1
2003,Brisbane,Fatality,75 and over,Male,Pedestrian,3
2003,North Coast,Fatality,30 to 39,Female,Driver,1
2003,Unknown,Minor injury,60 to 74,Male,Driver,1
2003,North Coast,Fatality,30 to 39,Male,Motorcyclist,8
2003,Central,Hospitalised,25 to 29,Male,Pedestrian,2
2003,Brisbane,Minor injury,0 to 16,Female,Pedestrian,6
2003,Southern,Fatality,50 to 59,Male,Passenger,1
2003,North Coast,Medically treated,25 to 29,Female,Motorcyclist,2
2003,Brisbane,Medically treated,25 to 29,Female,Motorcyclist,2
2003,North Coast,Minor injury,60 to 74,Female,Pedestrian,1
2003,Central,Fatality,50 to 59,Female,Pedestrian,1
2003,Unknown,Medically treated,30 to 39,Female,Driver,1
2003,Unknown,Hospitalised,30 to 39,Female,Passenger,1
2003,Northern,Hospitalised,0 to 16,Female,Motorcyclist,1
2003,North Coast,Fatality,60 to 74,Male,Pedestrian,3
2002,Far Northern,Minor injury,40 to 49,Male,Passenger,3
2003,Brisbane,Fatality,30 to 39,Male,Motorcyclist,3
2003,North Coast,Fatality,75 and over,Female,Pedestrian,1
2003,Brisbane,Fatality,17 to 24,Female,Passenger,2
2003,South Eastern,Fatality,40 to 49,Female,Pedestrian,1
2003,Unknown,Medically treated,40 to 49,Female,Driver,1
2003,Northern,Hospitalised,17 to 24,Female,Motorcyclist,1
2022,North Coast,Minor injury,40 to 49,Male,Motorcyclist,1
2022,North Coast,Medically treated,17 to 24,Female,Pedestrian,1
2019,Northern,Medically treated,0 to 16,Male,Driver,1
2018,South Eastern,Minor injury,50 to 59,Male,Bicyclist,1
2021,Brisbane,Medically treated,60 to 74,Male,Motorcyclist,6
2018,Southern,Fatality,17 to 24,Female,Passenger,1
2022,Brisbane,Medically treated,25 to 29,Male,Passenger,5
2022,Central,Minor injury,60 to 74,Female,Passenger,2
2022,Northern,Medically treated,50 to 59,Female,Pedestrian,1
2022,Central,Medically treated,0 to 16,Female,Driver,1
2022,North Coast,Fatality,25 to 29,Female,Driver,1
2022,North Coast,Minor injury,50 to 59,Male,Motorcyclist,3
2022,South Eastern,Medically treated,Unknown,Female,Passenger,1
2021,Central,Fatality,17 to 24,Male,Driver,1
2020,North Coast,Medically treated,0 to 16,Female,Pedestrian,1
2022,Central,Medically treated,17 to 24,Male,Bicyclist,1
2021,Central,Medically treated,40 to 49,Female,Pedestrian,1
2021,North Coast,Hospitalised,0 to 16,Unknown,Passenger,1
2022,South Eastern,Medically treated,0 to 16,Male,Pedestrian,2
2020,Southern,Fatality,40 to 49,Male,Passenger,1
2022,Southern,Minor injury,40 to 49,Female,Passenger,2
2022,Central,Medically treated,25 to 29,Male,Motorcyclist,1
2022,Northern,Hospitalised,17 to 24,Male,Motorcyclist,7
2022,Central,Medically treated,17 to 24,Male,Passenger,3
2022,Brisbane,Minor injury,75 and over,Female,Driver,4
2022,Southern,Hospitalised,40 to 49,Male,Passenger,5
2019,South Eastern,Fatality,25 to 29,Female,Passenger,1
2021,Central,Minor injury,Unknown,Unknown,Motorcyclist,1
2022,Southern,Medically treated,25 to 29,Female,Passenger,2
2022,Northern,Minor injury,25 to 29,Male,Motorcyclist,1
2022,South Eastern,Hospitalised,25 to 29,Female,Bicyclist,2
2022,South Eastern,Medically treated,40 to 49,Female,Bicyclist,2
2019,Far Northern,Minor injury,50 to 59,Male,Motorcyclist,1
2022,Brisbane,Medically treated,40 to 49,Male,Pedestrian,2
